CountryCode,CountryName,PPP_Value,Factor,RawPrice,FinalPrice_USD
ALB,Albania,39.6673837913105,1.0,9.99,9.99
DZA,Algeria,43.7670017603446,1.0,9.99,9.99
AND,Andorra,0.607839175148891,0.607839175148891,7.6370350508933456,7.99
AGO,Angola,265.840925124981,1.0,9.99,9.99
ATG,Antigua and Barbuda,1.90391952523762,1.0,9.99,9.99
ARG,Argentina,419.901039679183,1.0,9.99,9.99
ARM,Armenia,147.231105454721,1.0,9.99,9.99
ABW,Aruba,1.39592218185229,1.0,9.99,9.99
AUS,Australia,1.366527,1.0,9.99,9.99
AUT,Austria,0.710451,0.710451,8.252706,8.99
AZE,Azerbaijan,0.49354478660225,0.49354478660225,6.9512687196135,6.99
BHS,"Bahamas, The",0.957704490977285,0.957704490977285,9.73622694586371,9.99
BHR,Bahrain,0.166560122951055,0.166560122951055,4.98936073770633,4.99
BGD,Bangladesh,29.8787873077242,1.0,9.99,9.99
BRB,Barbados,2.13877200243175,1.0,9.99,9.99
BLR,Belarus,0.817945059163395,0.817945059163395,8.89767035498037,8.99
BEL,Belgium,0.704288,0.704288,8.215728,8.99
BLZ,Belize,1.07081642735075,1.0,9.99,9.99
BEN,Benin,203.098489252852,1.0,9.99,9.99
BMU,Bermuda,1.14971520694886,1.0,9.99,9.99
BOL,Bolivia,2.37235000544932,1.0,9.99,9.99
BIH,Bosnia and Herzegovina,0.675500053313931,0.675500053313931,8.043000319883586,8.99
BWA,Botswana,5.08218196380313,1.0,9.99,9.99
BRA,Brazil,2.48731718948001,1.0,9.99,9.99
BRN,Brunei Darussalam,0.492817644064286,0.492817644064286,6.946905864385716,6.99
BGR,Bulgaria,0.757951749098367,0.757951749098367,8.537710494590202,8.99
BFA,Burkina Faso,205.610818525697,1.0,9.99,9.99
BDI,Burundi,875.87514263987,1.0,9.99,9.99
CPV,Cabo Verde,47.2731098785268,1.0,9.99,9.99
KHM,Cambodia,1343.28353426878,1.0,9.99,9.99
CMR,Cameroon,198.536346180777,1.0,9.99,9.99
CAN,Canada,1.150472,1.0,9.99,9.99
